Validation results on test dataset:
R2 of lnk within 500-2000K is 0.8708
Average RMSE of lnk within 500-2000K is 4.4341
Average NRMSE of lnk within 500-2000K is 23.27%

	R2 score	RMSE	MPE	NRMSE
lnA:	0.7928	7.3807	72.15%	31.65%
n:	0.7461	0.9898	101.98%	57.53%
E:	0.9614	4103.3518	133.54%	21.60%
lnk(500K):	0.9184	5.0726	76.62%	30.39%
lnk(1000K):	0.7325	4.1852	28.81%	20.92%
lnk(2000K):	-0.0129	4.1657	13.57%	16.64%

Details:
Temp.:	2000	1666	1428	1250	1111	1000	909	833	769	714	666	625	588	555	526	500
RMSE:	4.1657	4.1320	4.1205	4.1272	4.1494	4.1852	4.2333	4.2926	4.3620	4.4408	4.5282	4.6236	4.7262	4.8356	4.9512	5.0726
NRMSE:	16.64%	17.27%	18.05%	18.97%	20.03%	20.92%	21.77%	22.72%	23.63%	24.55%	25.50%	26.49%	27.50%	28.49%	29.44%	30.39%
	Truth						Prediction
Rxn.	lnA	n	E	lnk(500K)	lnk(1000K)	lnk(2000K)	lnA	n	E	lnk(500K)	lnk(1000K)	lnk(2000K)
CH3OCH2OCH2=CH3OCH2+CH2O	29.9728	0.2410	25616.0020	5.6896	18.7471	25.3594	34.4012	-0.5006	25733.5801	5.3910	17.9936	24.1215
CH3OCH2OCH3+H=CH3OCHOCH3+H2	23.8052	1.1550	6548.7568	24.3921	28.4882	30.9365	19.1531	1.5604	2629.4160	26.2042	28.6090	30.3522
COCJOCO2H=CH3+HO2CH2OCHO	27.2527	0.4300	17979.4004	11.8298	21.1754	25.9973	33.4985	-0.3279	14451.7129	16.9158	23.9608	27.3697
CH3OCH3+O=CH3OCH2+OH	20.4684	1.3600	2249.9995	26.6557	28.7307	30.2395	15.3417	1.9722	-835.4351	28.4392	29.3858	30.5426
CH3OCH2+O2=CH3OCH2O2	40.8359	-1.7300	2210.0000	27.8604	27.7734	27.1303	40.0759	-2.0716	1153.3535	26.0410	25.1855	24.0398
CH2OCH2O2H+O2=O2CH2OCH2O2H	29.2141	-0.3200	428.0000	26.7947	26.7883	26.6741	34.0658	-1.5028	2687.7925	22.0215	22.3324	21.9670
O2CH2OCH2O2H=HO2CH2OCHO+OH	17.4688	0.9800	17467.0000	5.9796	15.4486	20.5228	34.2290	-0.0851	12512.7988	21.1069	27.3446	30.4340
PODE2+H=PODE2B+H2	19.5456	1.8200	6210.4902	24.6057	28.9925	31.8166	15.4625	2.4213	5996.8730	24.4744	29.1705	32.3577
PODE2+CH3=PODE2A+CH4	-5.2785	4.5200	6596.5596	16.1725	22.6250	27.4178	4.7699	3.1935	3980.6240	20.6098	24.8265	28.0416
PODE2+CH3=PODE2B+CH4	1.3813	3.8100	5620.4600	19.4023	24.8715	28.9266	6.5572	2.8083	2895.8604	21.0952	24.4990	27.1742
