Validation results on test dataset:
R2 of lnk within 500-2000K is 0.9543
Average RMSE of lnk within 500-2000K is 2.6166
Average NRMSE of lnk within 500-2000K is 13.85%

	R2 score	RMSE	MPE	NRMSE
lnA:	-3.3774	33.9208	377.02%	145.47%
n:	-3.7630	4.2875	1037932402.81%	249.19%
E:	0.8501	8090.4009	165.02%	42.60%
lnk(500K):	0.9636	3.3857	56.48%	20.29%
lnk(1000K):	0.9169	2.3325	19.93%	11.66%
lnk(2000K):	0.6995	2.2691	6.51%	9.06%

Details:
Temp.:	2000	1666	1428	1250	1111	1000	909	833	769	714	666	625	588	555	526	500
RMSE:	2.2691	2.1756	2.1691	2.2062	2.2642	2.3325	2.4068	2.4857	2.5698	2.6599	2.7573	2.8632	2.9784	3.1036	3.2393	3.3857
NRMSE:	9.06%	9.09%	9.50%	10.14%	10.93%	11.66%	12.38%	13.16%	13.92%	14.71%	15.53%	16.41%	17.33%	18.29%	19.26%	20.29%
	Truth						Prediction
Rxn.	lnA	n	E	lnk(500K)	lnk(1000K)	lnk(2000K)	lnA	n	E	lnk(500K)	lnk(1000K)	lnk(2000K)
CH3OCH2OCH2=CH3OCH2+CH2O	29.9728	0.2410	25615.9965	5.6896	18.7471	25.3594	50.4660	-2.2549	33086.3083	3.1535	18.2402	25.0021
CH3OCH2OCH3+H=CH3OCHOCH3+H2	23.8052	1.1550	6548.7567	24.3921	28.4882	30.9365	29.7234	0.2449	7045.2483	24.1547	27.8697	29.8121
COCJOCO2H=CH3+HO2CH2OCHO	27.2527	0.4300	17979.4003	11.8298	21.1754	25.9973	11.4543	2.4675	21210.2210	5.4419	17.8256	24.8726
CH3OCH3+O=CH3OCH2+OH	20.4684	1.3600	2250.0029	26.6558	28.7307	30.2395	14.6710	2.0408	760.9454	26.5880	28.3855	29.9915
CH3OCH2+O2=CH3OCH2O2	40.8359	-1.7300	2209.9983	27.8604	27.7734	27.1303	8.1114	2.4284	-4862.3117	28.0965	27.3329	27.7927
CH2OCH2O2H+O2=O2CH2OCH2O2H	29.2141	-0.3200	427.9953	26.7947	26.7883	26.6741	34.9076	-1.1007	727.0872	27.3356	26.9386	26.3586
O2CH2OCH2O2H=HO2CH2OCHO+OH	17.4688	0.9800	17467.0011	5.9796	15.4486	20.5228	18.5791	1.0485	15326.4023	9.6700	18.1093	22.6923
PODE2+H=PODE2B+H2	19.5456	1.8200	6210.4914	24.6057	28.9925	31.8166	40.9750	-1.1801	9152.3862	24.4301	28.2178	29.7027
PODE2+CH3=PODE2A+CH4	-5.2785	4.5200	6596.5622	16.1725	22.6250	27.4178	22.3497	0.8099	10386.2349	16.9295	22.7174	25.8920
PODE2+CH3=PODE2B+CH4	1.3813	3.8100	5620.4599	19.4023	24.8715	28.9266	18.0733	1.2602	6630.0162	19.2324	23.4423	25.9840
