Validation results on test dataset:
R2 of lnk within 500-2000K is 0.9489
Average RMSE of lnk within 500-2000K is 2.7774
Average NRMSE of lnk within 500-2000K is 14.65%

	R2 score	RMSE	MPE	NRMSE
lnA:	0.7438	8.2059	89.84%	35.19%
n:	0.7106	1.0569	105.44%	61.43%
E:	0.9657	3868.3718	112.49%	20.37%
lnk(500K):	0.9621	3.4564	63.11%	20.71%
lnk(1000K):	0.9041	2.5063	17.77%	12.53%
lnk(2000K):	0.6287	2.5222	8.43%	10.07%

Details:
Temp.:	2000	1666	1428	1250	1111	1000	909	833	769	714	666	625	588	555	526	500
RMSE:	2.5222	2.4761	2.4549	2.4545	2.4723	2.5063	2.5550	2.6170	2.6909	2.7757	2.8702	2.9735	3.0845	3.2025	3.3267	3.4564
NRMSE:	10.07%	10.35%	10.75%	11.28%	11.93%	12.53%	13.14%	13.85%	14.58%	15.35%	16.16%	17.04%	17.95%	18.87%	19.78%	20.71%
	Truth						Prediction
Rxn.	lnA	n	E	lnk(500K)	lnk(1000K)	lnk(2000K)	lnA	n	E	lnk(500K)	lnk(1000K)	lnk(2000K)
CH3OCH2OCH2=CH3OCH2+CH2O	29.9728	0.2410	25616.0020	5.6896	18.7471	25.3594	27.3821	0.1998	22582.3770	5.8961	17.3985	23.2190
CH3OCH2OCH3+H=CH3OCHOCH3+H2	23.8052	1.1550	6548.7568	24.3921	28.4882	30.9365	16.6479	2.0811	5112.3047	24.4359	28.4510	31.1799
COCJOCO2H=CH3+HO2CH2OCHO	27.2527	0.4300	17979.4004	11.8298	21.1754	25.9973	29.8984	-0.0168	17297.2637	12.3854	21.0781	25.4186
CH3OCH3+O=CH3OCH2+OH	20.4684	1.3600	2249.9995	26.6557	28.7307	30.2395	16.0248	2.1181	3842.0684	25.3213	28.7229	31.1578
CH3OCH2+O2=CH3OCH2O2	40.8359	-1.7300	2210.0000	27.8604	27.7734	27.1303	36.8545	-1.0366	2119.4160	28.2797	28.6277	28.4425
CH2OCH2O2H+O2=O2CH2OCH2O2H	29.2141	-0.3200	428.0000	26.7947	26.7883	26.6741	37.8146	-1.4441	1390.7905	27.4403	27.1392	26.4881
O2CH2OCH2O2H=HO2CH2OCHO+OH	17.4688	0.9800	17467.0000	5.9796	15.4486	20.5228	26.8774	0.2104	16779.8770	11.2972	19.8870	24.2548
PODE2+H=PODE2B+H2	19.5456	1.8200	6210.4902	24.6057	28.9925	31.8166	15.7711	2.1286	4608.3623	24.3615	28.1560	30.7909
PODE2+CH3=PODE2A+CH4	-5.2785	4.5200	6596.5596	16.1725	22.6250	27.4178	10.1316	2.7206	3413.2080	23.6041	27.2075	29.9521
PODE2+CH3=PODE2B+CH4	1.3813	3.8100	5620.4600	19.4023	24.8715	28.9266	10.9643	2.5839	4059.1553	22.9369	26.7706	29.5829
