Validation results on test dataset:
R2 of lnk within 500-2000K is 0.9735
Average RMSE of lnk within 500-2000K is 2.0738
Average NRMSE of lnk within 500-2000K is 11.56%

	R2 score	RMSE	MPE	NRMSE
lnA:	0.7999	6.5892	55.20%	29.53%
n:	0.7690	0.8164	41.67%	51.29%
E:	0.9851	2755.3719	437.99%	13.26%
lnk(500K):	0.9760	2.9431	111.49%	18.14%
lnk(1000K):	0.9548	1.7695	9.16%	9.20%
lnk(2000K):	0.8767	1.3073	3.85%	5.28%

Details:
Temp.:	2000	1666	1428	1250	1111	1000	909	833	769	714	666	625	588	555	526	500
RMSE:	1.3073	1.3794	1.4658	1.5614	1.6632	1.7695	1.8791	1.9913	2.1056	2.2217	2.3392	2.4580	2.5778	2.6987	2.8205	2.9431
NRMSE:	5.28%	5.86%	6.56%	7.38%	8.31%	9.20%	10.10%	11.07%	11.97%	12.85%	13.78%	14.74%	15.70%	16.61%	17.39%	18.14%
	Truth						Prediction
Rxn.	lnA	n	E	lnk(500K)	lnk(1000K)	lnk(2000K)	lnA	n	E	lnk(500K)	lnk(1000K)	lnk(2000K)
C4H10=C2H5+C2H5	66.1072	-2.8700	96053.3984	-48.4006	-2.0540	20.1247	68.3044	-3.2500	96154.6250	-48.6667	-2.5325	19.4082
C4H10=NC3H7+CH3	63.7125	-2.7300	98193.5000	-52.0791	-4.5585	18.2556	64.3609	-2.7494	94703.6719	-48.0390	-2.2880	19.6346
C4H10+H=PC4H9+H2	12.7628	2.6900	6450.0000	22.9886	28.0989	31.5864	16.4025	2.1350	4446.3477	25.1958	28.9132	31.5118
C4H10+O2=PC4H9+HO2	31.7254	0.0000	52340.0000	-20.9517	5.3869	18.5561	32.3271	-0.0796	52905.0391	-21.4129	5.1548	18.4111
C4H10+O=PC4H9+OH	32.3584	0.0000	7850.0000	24.4579	28.4081	30.3833	18.1624	1.8007	5386.7314	23.9314	27.8902	30.4937
C4H10+OH=PC4H9+H2O	23.0784	0.9700	1586.0000	27.5104	28.9809	30.0523	17.2268	1.9748	4527.2100	24.9432	28.5902	31.0982
C4H10+HO2=PC4H9+H2O2	3.0350	3.5900	15600.0000	9.6449	19.9836	26.3971	5.1922	3.2796	13383.0742	12.1046	21.1125	26.7530
C4H10+CH3=PC4H9+CH4	3.5410	3.4400	10400.0000	14.4522	22.0702	27.0713	9.4153	2.6566	8376.4590	17.4947	23.5514	27.5004
C4H10+CH3O=PC4H9+CH3OH	26.4270	0.0000	7000.0000	19.3820	22.9045	24.6658	26.2659	0.2665	6507.5430	21.3726	24.8321	26.6542
C4H10+H=SC4H9+H2	14.7710	2.4000	4471.0000	25.1863	29.0997	31.8882	15.6200	2.2214	4695.4492	24.6993	28.6019	31.3231
C4H10+O2=SC4H9+HO2	31.3199	0.0000	49800.0000	-18.8008	6.2596	18.7897	29.5984	0.2706	50791.5664	-19.8388	5.9080	18.8752
C4H10+O=SC4H9+OH	31.6599	0.0000	5200.0000	26.4265	29.0432	30.3516	16.2549	1.9921	6107.8184	22.4878	26.9422	29.8598
C4H10+OH=SC4H9+H2O	18.3524	1.6100	-35.0000	28.3931	29.4915	30.5987	15.8804	2.1097	4812.7686	24.1477	28.0319	30.7051
C4H10+HO2=SC4H9+H2O2	4.8395	3.3700	13720.0000	11.9743	21.2144	27.0024	4.0308	3.4288	13636.9102	11.6147	20.8538	26.6616
C4H10+CH3=SC4H9+CH4	1.1053	3.4600	5481.0000	17.0915	22.2479	26.0253	9.0121	2.7096	8343.8896	17.4537	23.5307	27.5083
C4H10+CH3O=SC4H9+CH3OH	27.1202	0.0000	7000.0000	20.0751	23.5977	25.3589	23.9643	0.6386	7163.8672	20.7228	24.7704	27.0156
C4H10+CH3O2=PC4H9+CH3O2H	3.0350	3.5900	17600.0000	7.6321	18.9771	25.8939	1.1134	3.7799	13099.3926	11.4203	20.6322	26.5482
C4H10+CH3O2=SC4H9+CH3O2H	4.8363	3.3700	15220.0000	10.4615	20.4564	26.6218	0.8664	3.8179	12869.6660	11.6406	20.7632	26.6477
PC4H9+O2=PC4H9O2	38.7678	-1.6270	198.7002	28.4566	27.4289	26.3511	39.5352	-1.6298	1627.3818	27.7688	27.4580	26.7378
SC4H9+O2=SC4H9O2	33.4852	-0.8160	-536.5000	28.9541	28.1185	27.4179	31.0298	-0.4936	-341.5586	28.3059	27.7918	27.3637
PC4H9=C2H4+C2H5	27.9957	0.6200	29636.7109	2.0212	17.3647	25.2513	33.2502	0.1104	26679.3926	7.0850	20.5871	27.3764
SC4H9=C3H6+CH3	26.0892	0.8400	31309.7500	-0.2018	16.1361	24.5962	29.1140	0.7571	28318.8359	5.3182	20.0936	27.7437
PC4H9O2=C4H8OOH1-2	19.8092	1.1000	30100.0000	-3.6485	12.2608	20.5968	15.6123	1.3651	22009.3262	1.9449	13.9666	20.4506
PC4H9O2=C4H8OOH1-3	16.4256	1.3000	18200.0000	6.1874	16.2471	21.7275	15.2703	1.4109	20756.3477	3.1487	14.5716	20.7721
PC4H9O2=C4H8OOH1-4	14.0250	1.5000	20000.0000	3.2181	14.3222	20.3941	15.4926	1.3832	21862.3809	2.0857	14.0460	20.5056
SC4H9O2=C4H8OOH2-1	21.1003	1.1000	33500.0000	-5.7793	11.8410	21.0324	18.3439	1.4595	33126.1992	-5.9255	11.7559	21.1024
SC4H9O2=C4H8OOH2-3	21.2633	0.9000	29500.0000	-2.8335	12.6353	20.6816	15.2419	1.4774	22668.0410	1.6094	14.0405	20.7681
SC4H9O2=C4H8OOH2-4	16.4820	1.4000	20800.0000	4.2486	15.6859	21.8898	15.1394	1.4677	21363.4473	2.7597	14.5276	20.9202
C4H8OOH1-3+O2=C4H8OOH1-3O2	32.7924	-0.8160	-536.5000	28.2612	27.4256	26.7250	43.9575	-2.3572	559.2417	28.7457	27.3932	25.9001
C4H8OOH2-4+O2=C4H8OOH2-4O2	38.0748	-1.6270	198.7002	27.7636	26.7359	25.6581	45.9075	-2.6429	985.8853	28.4905	27.1547	25.5708
C4H8OOH1-3=OH+CH2O+C3H6	20.9303	1.3000	24900.0020	3.9489	17.3802	24.5464	34.3440	-0.2148	24302.1055	8.5504	20.6308	26.5965
C4H8OOH2-4=OH+CH3CHO+C2H4	19.5456	1.5000	23500.0000	5.2162	18.0816	25.0341	34.1623	-0.2285	24052.5098	8.5351	20.4805	26.3739
C4H8OOH1-3=C4H8O1-3+OH	21.6749	0.6900	16000.0000	9.8600	18.3898	22.8938	28.7265	0.1513	15101.2148	14.4683	22.1724	26.0769
C4H8OOH2-4=C4H8O1-3+OH	21.6153	0.7800	18000.0000	8.3468	17.9454	23.0150	29.0380	0.1809	17165.2051	12.8863	21.6495	26.0938
C4H8OOH1-3O2=NC4KET13+OH	9.2965	2.4000	19900.0000	4.1834	15.8611	22.5316	17.1917	1.2567	24774.5684	0.0672	13.4053	20.5098
C4H8OOH2-4O2=NC4KET24+OH	4.0587	2.9000	17000.0000	4.9716	15.5365	21.8240	12.5827	1.7222	18827.1270	4.3370	15.0049	20.9357
