Validation results on test dataset:
R2 of lnk within 500-2000K is 0.9525
Average RMSE of lnk within 500-2000K is 2.6287
Average NRMSE of lnk within 500-2000K is 13.95%

	R2 score	RMSE	MPE	NRMSE
lnA:	0.7034	10.9856	41.56%	44.51%
n:	0.6204	1.4018	90.72%	72.68%
E:	0.9445	5433.6692	154.65%	29.29%
lnk(500K):	0.9495	4.1068	254.97%	24.43%
lnk(1000K):	0.9393	2.0477	10.22%	10.14%
lnk(2000K):	0.8592	1.7161	5.99%	6.90%

Details:
Temp.:	2000	1666	1428	1250	1111	1000	909	833	769	714	666	625	588	555	526	500
RMSE:	1.7161	1.6912	1.7220	1.7976	1.9088	2.0477	2.2082	2.3853	2.5754	2.7758	2.9844	3.1997	3.4203	3.6455	3.8746	4.1068
NRMSE:	6.90%	7.10%	7.56%	8.27%	9.20%	10.14%	11.16%	12.31%	13.57%	14.93%	16.38%	17.93%	19.48%	21.07%	22.72%	24.43%
	Truth						Prediction
Rxn.	lnA	n	E	lnk(500K)	lnk(1000K)	lnk(2000K)	lnA	n	E	lnk(500K)	lnk(1000K)	lnk(2000K)
C2H5OC2H5=C2H5+C2H5O	88.9751	-5.9940	99284.4531	-48.1991	-2.3919	18.4343	67.6355	-2.7972	102655.6875	-53.0647	-3.3452	20.5451
C2H5OC2H5=CH3+C2H5OCH2	84.8818	-5.5420	102929.8281	-53.1522	-5.1973	16.8594	58.7181	-2.5968	93550.5391	-51.5727	-6.2962	15.4421
C2H5OC2H5+H=C2H5OCH2CH2+H2	19.2751	1.9300	10743.0010	20.4571	27.2010	31.2418	16.1871	2.0629	3525.3096	25.4593	28.6632	30.9801
C2H5OC2H5+H=C2H5OCHCH3+H2	20.1664	1.7100	5437.0000	25.3214	29.2427	31.7959	17.5574	1.9902	3614.0635	26.2886	29.4868	31.7756
C2H5OC2H5+CH3=C2H5OCH2CH2+CH4	10.0774	2.8800	15042.0000	12.8367	22.4023	28.1833	8.6698	2.7246	7483.8320	18.0701	23.7247	27.4962
C2H5OC2H5+CH3=C2H5OCHCH3+CH4	9.5104	2.7500	11054.0010	15.4754	22.9442	27.6316	10.0304	2.5585	7267.9385	18.6154	24.0462	27.6483
C2H5OC2H5+OH=C2H5OCH2CH2+H2O	21.7349	1.3000	4138.0000	25.6492	28.6326	30.5749	16.4731	2.0617	2340.2510	26.9304	29.5372	31.5550
C2H5OC2H5+OH=C2H5OCHCH3+H2O	23.1998	0.9800	568.0000	28.7185	29.6836	30.5058	17.5654	1.9415	3981.1318	25.6240	28.9731	31.3206
C2H5OC2H5+HO2=C2H5OCH2CH2+H2O2	-7.2211	4.7000	13032.0000	8.8716	18.6874	25.2242	2.1977	3.7949	11976.1309	13.7281	22.3851	28.0288
C2H5OC2H5+HO2=C2H5OCHCH3+H2O2	-7.0187	4.6000	4320.0000	17.2207	22.5831	26.8585	4.2395	3.6044	13472.0488	13.0809	22.3587	28.2468
C2H5OC2H5+O=C2H5OCH2CH2+OH	17.8045	2.3000	7107.0000	24.9453	30.1160	33.4984	18.4953	1.8223	3725.8887	26.0702	29.2082	31.4088
C2H5OC2H5+O=C2H5OCHCH3+OH	17.3360	2.0000	403.0000	29.3596	30.9487	32.4364	19.5738	1.7018	4726.4316	25.3932	28.9513	31.3201
C2H5OCH2CH2=C2H5O+C2H4	45.3281	-2.0200	25971.0000	6.6364	18.3053	23.4397	28.7859	0.3061	29053.2383	1.4481	16.2804	23.8027
C2H5OCHCH3=C2H5+CH3CHO	43.6819	-1.4500	24658.0000	9.8540	21.2573	26.4564	29.1427	0.4182	19675.1348	11.9397	22.1304	27.3707
C2H5OCH2=C2H5+CH2O	42.6936	-2.1600	18935.0000	10.2131	18.2443	21.5114	28.1780	0.3557	23309.8438	6.9288	18.9054	25.0169
C2H5OCH2CH2+O2=C4H9OaOO	35.1092	-0.9752	-351.5898	29.4026	28.5497	27.7853	44.4566	-1.7115	5099.7715	28.6876	30.0676	30.1644
C2H5OCHCH3+O2=C4H9ObOO	15.7675	1.6359	-842.2598	26.7817	27.4917	28.4137	40.8426	-1.2284	3407.6143	29.7788	30.6421	30.6480
