Validation results on test dataset:
R2 of lnk within 500-2000K is 0.9818
Average RMSE of lnk within 500-2000K is 2.1958
Average NRMSE of lnk within 500-2000K is 11.08%

	R2 score	RMSE	MPE	NRMSE
lnA:	0.9133	5.7829	108.10%	24.87%
n:	0.8815	0.7066	69.01%	35.00%
E:	0.9884	3317.7712	28.29%	12.75%
lnk(500K):	0.9843	3.0678	16.47%	14.86%
lnk(1000K):	0.9676	1.8645	15.54%	10.19%
lnk(2000K):	0.8475	1.6308	5.98%	6.76%

Details:
Temp.:	2000	1666	1428	1250	1111	1000	909	833	769	714	666	625	588	555	526	500
RMSE:	1.6308	1.6393	1.6701	1.7198	1.7854	1.8645	1.9551	2.0554	2.1638	2.2791	2.4002	2.5264	2.6568	2.7908	2.9280	3.0678
NRMSE:	6.76%	7.24%	7.89%	8.72%	9.71%	10.19%	10.58%	11.00%	11.45%	11.92%	12.40%	12.89%	13.38%	13.88%	14.37%	14.86%
	Truth						Prediction
Rxn.	lnA	n	E	lnk(500K)	lnk(1000K)	lnk(2000K)	lnA	n	E	lnk(500K)	lnk(1000K)	lnk(2000K)
C2H5OCH2OC2H5=CH3+C2H5OCH2OCH2	53.9674	-1.7620	90856.2031	-48.4240	-3.9247	17.7143	53.1827	-2.0499	89002.6875	-49.1322	-5.7652	15.2079
C2H5OCH2OC2H5=C2H5+C2H5OCH2O	63.0285	-3.1600	86810.6016	-43.9793	-2.4848	17.1672	57.1145	-2.3119	92170.7031	-50.0172	-5.2376	16.3509
C2H5OCH2OC2H5=C2H5O+C2H5OCH2	60.7592	-2.9810	89993.8984	-48.3399	-5.1195	15.4576	51.0691	-1.6966	89061.1094	-49.1094	-5.4681	15.7645
C2OCOC2sO2Hc=C2H5OCHO+CH3CHO+OH	27.9458	0.0810	13737.9004	14.6229	21.5922	25.1049	33.6297	-0.4002	18141.9883	12.8835	21.7354	26.0227
C2H5OCH2OC2H5+H=C2H5OCH2OC2H4p+H2	11.8494	2.5400	8320.7998	19.2601	25.2079	29.0621	11.4901	2.4465	7779.6172	18.8647	24.4754	28.1286
C2H5OCH2OC2H5+H=C2H5OCH2OC2H4s+H2	13.4386	2.3200	3810.7998	24.0212	27.5470	30.1139	10.8947	2.5302	6921.7100	19.6525	24.8894	28.3848
C2H5OCH2OC2H5+H=C2H5OCHOC2H5+H2	15.6205	2.0900	5009.2002	23.5676	27.5370	30.2460	11.4882	2.3788	7770.0342	18.4516	24.0105	27.6144
C2H5OCH2OC2H5+CH3=C2H5OCH2OC2H4p+CH4	-0.9862	3.7300	9637.9004	12.4943	19.9298	24.9402	8.5154	2.6072	10416.1787	14.2351	21.2839	25.7119
C2H5OCH2OC2H5+CH3=C2H5OCH2OC2H4s+CH4	5.2470	2.7700	7175.5996	15.2397	20.7706	24.4961	7.0350	2.7856	11251.9893	13.0218	20.6148	25.3767
C2H5OCH2OC2H5+CH3=C2H5OCHOC2H5+CH4	8.7323	2.3700	7916.2002	15.4938	21.1201	24.7546	9.4326	2.4876	11994.0508	12.8209	20.5809	25.3230
C2H5OCH2OC2H5+C2H5=C2H5OCH2OC2H4p+C2H6	-2.3310	3.6400	11096.2998	9.1224	17.2294	22.5444	11.2277	2.2807	13095.1660	12.2216	20.3921	25.2678
C2H5OCH2OC2H5+C2H5=C2H5OCH2OC2H4s+C2H6	12.3588	1.8400	9451.0996	14.2817	20.3131	23.9665	12.3132	2.1254	14659.1777	10.7683	19.6183	24.7800
C2H5OCH2OC2H5+C2H5=C2H5OCHOC2H5+C2H6	19.6146	0.8650	12430.6016	12.4796	19.3345	23.0617	19.1743	1.2428	16600.1797	10.1909	19.4059	24.4442
C2H5OCH2OC2H4p=C2H5OCH2O+C2H4	22.9403	0.9890	23036.2988	5.9019	18.1797	24.6614	31.2061	-0.2257	25794.0371	3.8435	16.6672	23.0008
C2H5OCH2OC2H4s=C2H5OCH2+CH3CHO	27.1956	0.5770	22818.4004	7.8161	19.6987	25.8400	27.5774	0.2050	20289.5625	8.4311	18.7833	24.0305
C2H5OCHOC2H5=C2H5OCHO+C2H5	26.0014	0.5860	14216.0996	15.3355	22.8955	26.8786	27.7676	0.1303	17336.9883	11.1286	19.9432	24.3956
