Validation results on test dataset:
R2 of lnk within 500-2000K is 0.9629
Average RMSE of lnk within 500-2000K is 2.3995
Average NRMSE of lnk within 500-2000K is 11.41%

	R2 score	RMSE	MPE	NRMSE
lnA:	0.6888	9.8753	47.84%	41.30%
n:	0.6502	1.3509	132.92%	65.57%
E:	0.9867	2480.9938	65.16%	15.19%
lnk(500K):	0.9749	2.9254	20.57%	15.39%
lnk(1000K):	0.9314	2.1661	16.01%	10.10%
lnk(2000K):	0.6705	2.2860	7.22%	8.83%

Details:
Temp.:	2000	1666	1428	1250	1111	1000	909	833	769	714	666	625	588	555	526	500
RMSE:	2.2860	2.2005	2.1536	2.1361	2.1418	2.1661	2.2054	2.2571	2.3190	2.3893	2.4667	2.5499	2.6381	2.7305	2.8264	2.9254
NRMSE:	8.83%	8.84%	9.00%	9.30%	9.73%	10.10%	10.41%	10.79%	11.23%	11.71%	12.24%	12.80%	13.40%	14.03%	14.70%	15.39%
	Truth						Prediction
Rxn.	lnA	n	E	lnk(500K)	lnk(1000K)	lnk(2000K)	lnA	n	E	lnk(500K)	lnk(1000K)	lnk(2000K)
CH3OCH3=CH3+CH3O	44.5950	-0.6610	84139.0000	-44.1936	-2.3114	18.4006	53.3415	-1.9470	79415.8984	-38.6853	-0.0712	18.5611
CH3OCH3+OH=CH3OCH2+H2O	13.7483	2.2900	-780.7002	28.7655	29.9599	31.3508	6.4963	3.2294	-286.3027	26.8537	28.9480	31.1144
CH3OCH3+HO2=CH3OCH2+H2O2	-5.7540	4.6400	10556.0010	12.4578	20.9860	26.8582	-2.6035	3.7274	8574.3525	11.9311	18.8295	23.5705
CH3OCH3+CH3O2=CH3OCH2+CH3O2H	-6.6703	4.6400	10556.0010	11.5415	20.0697	25.9419	-1.1012	4.0221	15589.6934	8.2046	18.8375	25.5480
CH3OCH3+H=CH3OCH2+H2	15.8595	2.0900	3384.0000	25.4422	28.5938	30.8939	13.3968	2.6369	4019.3418	25.7388	29.5892	32.4283
CH3OCH3+O=CH3OCH2+OH	20.4684	1.3600	2249.9995	26.6557	28.7307	30.2395	12.0784	2.8429	1630.2637	28.1053	30.8962	33.2769
CH3OCH3+CH3=CH3OCH2+CH4	1.9488	3.7800	9687.1006	15.6905	23.1853	28.2428	4.6963	3.1219	7203.3633	16.8479	22.6367	26.6130
CH3OCH2=CH3+CH2O	29.7142	0.4403	26490.6992	5.7891	19.4249	26.3954	36.4165	-1.1532	22981.0703	6.1205	16.8857	21.8686
CH3OCH2+O2=CH3OCH2O2	40.8359	-1.7300	2210.0000	27.8604	27.7734	27.1303	43.2992	-2.2522	1551.9385	27.7409	26.9608	25.7901
CH3OCH2O2=CH2OCH2O2H	33.5445	-1.1300	20034.0000	6.3590	15.6573	19.9148	20.1332	0.3844	21179.2441	1.2066	12.1309	17.7263
CH2OCH2O2H=CH2O+CH2O+OH	50.9933	-2.7200	24407.0000	9.5254	19.9222	24.1778	29.0233	0.0500	24067.0156	5.1120	17.2576	23.3478
CH2OCH2O2H+O2=O2CH2OCH2O2H	29.2141	-0.3200	428.0000	26.7947	26.7883	26.6741	44.0342	-2.2792	2929.4175	26.9217	26.8160	25.9733
O2CH2OCH2O2H=HO2CH2OCHO+OH	17.4688	0.9800	17467.0000	5.9796	15.4486	20.5228	26.4448	0.3281	18367.3887	9.9980	19.4682	24.3171
