Validation results on test dataset:
R2 of lnk within 500-2000K is 0.9548
Average RMSE of lnk within 500-2000K is 2.5408
Average NRMSE of lnk within 500-2000K is 13.36%

	R2 score	RMSE	MPE	NRMSE
lnA:	0.6849	6.3977	36.55%	31.02%
n:	0.6705	0.8284	110.77%	53.28%
E:	0.9713	3338.8038	40.46%	17.27%
lnk(500K):	0.9655	3.1728	22.03%	19.00%
lnk(1000K):	0.9134	2.2822	11.85%	11.43%
lnk(2000K):	0.6353	2.3377	7.78%	9.21%

Details:
Temp.:	2000	1666	1428	1250	1111	1000	909	833	769	714	666	625	588	555	526	500
RMSE:	2.3377	2.2830	2.2531	2.2445	2.2549	2.2822	2.3249	2.3812	2.4499	2.5294	2.6186	2.7163	2.8214	2.9330	3.0504	3.1728
NRMSE:	9.21%	9.43%	9.78%	10.24%	10.84%	11.43%	11.96%	12.60%	13.32%	14.07%	14.79%	15.52%	16.32%	17.16%	18.06%	19.00%
	Truth						Prediction
Rxn.	lnA	n	E	lnk(500K)	lnk(1000K)	lnk(2000K)	lnA	n	E	lnk(500K)	lnk(1000K)	lnk(2000K)
CH3OCH2OCH3=CH3+CH3OCH2O	40.6164	0.0000	81656.0234	-41.5654	-0.4745	20.0710	46.0908	-0.9637	78904.1719	-39.3104	-0.2722	18.9128
CH3OCH2OCH3=CH3O+CH3OCH2	39.9324	0.0000	86410.1250	-47.0341	-3.5509	18.1908	49.8781	-1.4051	84906.1875	-44.3072	-2.5547	17.8346
CH3OCH2OCH2=CH3OCH2+CH2O	29.9728	0.2410	25616.0020	5.6896	18.7471	25.3594	39.5529	-0.9068	25546.4473	8.2067	20.4337	26.2329
CH3OCHOCH3=CH3OCHO+CH3	24.6371	0.9860	14952.9004	15.7155	23.9235	28.3693	29.8497	-0.1905	13702.3262	14.8752	21.6384	24.9540
CH3OCH2OCH3+OH=CH3OCH2OCH2+H2O	4.1049	3.4980	-2206.4163	28.0644	29.3787	31.2482	13.0074	2.3219	1696.0000	25.7304	28.1933	30.2294
CH3OCH2OCH3+OH=CH3OCHOCH3+H2O	9.8482	2.7217	-1243.8630	28.0146	29.2753	30.8488	10.3188	2.5257	3046.9746	22.9487	26.2327	28.7500
CJOCOCO2H=C3H6O3_15+OH	46.8138	-2.4799	17501.3262	13.7884	20.8765	23.5611	35.7126	-1.4975	15680.9180	10.6244	17.4773	20.3848
COCO2HOCJ=C3H6O3_13+OH	30.0633	-0.3829	19343.1543	8.2162	17.6847	22.2862	33.3887	-1.1415	15484.5195	10.7106	17.7115	20.8163
CH3OCH2OCH3+H=CH3OCH2OCH2+H2	15.4329	2.3000	6453.1553	23.2318	28.0734	31.2913	16.0405	2.0483	3754.1543	24.9915	28.3004	30.6647
CH3OCH2OCH3+H=CH3OCHOCH3+H2	23.8052	1.1550	6548.7568	24.3921	28.4882	30.9365	14.2914	2.1657	5337.0029	22.3793	26.5662	29.4102
CH3OCH2OCH3+CH3=CH3OCH2OCH2+CH4	5.5413	3.1200	9345.1250	15.5255	22.3908	26.9048	5.8895	2.9045	8387.4453	15.4986	21.7326	25.8562
CH3OCH2OCH3+CH3=CH3OCHOCH3+CH4	13.1949	2.0970	9608.0293	16.5570	22.8455	26.7165	7.4455	2.7186	7506.5361	16.7855	22.4473	26.2204
CH3OCH2OCH3+O=CH3OCH2OCH2+OH	15.5075	2.1480	3080.7803	25.7558	28.7950	31.0590	17.7867	1.9119	4149.8936	25.4916	28.9051	31.2745
CH3OCH2OCH3+O=CH3OCHOCH3+OH	13.9108	2.4500	2820.2676	26.2982	29.4156	31.8234	18.9455	1.7915	7611.9385	22.4182	27.4904	30.6475
CH3OCH2OCH3+O2=CH3OCH2OCH2+HO2	9.8416	2.8220	42590.8203	-15.4858	7.9028	20.5751	12.7357	1.7116	35344.9414	-12.2001	6.7726	16.8521
CH3OCH2OCH3+O2=CH3OCHOCH3+HO2	16.3492	1.9950	40344.1680	-11.8566	9.8282	21.3620	13.7069	1.5478	34567.3789	-11.4641	7.0037	16.7740
CH3OCH2OCH3+HO2=CH3OCH2OCH2+H2O2	2.5802	3.5570	12691.2031	11.9127	20.7646	26.4234	0.1622	3.7789	7696.2656	15.9010	22.3932	26.9491
CH3OCH2OCH3+HO2=CH3OCHOCH3+H2O2	5.4205	3.1630	11759.0820	13.2425	21.3524	26.5035	1.5529	3.5995	6919.6777	16.9583	22.9355	27.1715
CH3OCH2OCH3+CH3O=CH3OCH2OCH2+CH3OH	6.8876	2.9310	3441.0000	21.6394	25.4026	28.3000	2.1000	3.5235	6826.2930	17.1270	23.0044	27.1643
CH3OCH2OCH3+CH3O=CH3OCHOCH3+CH3OH	12.7308	2.1260	4493.3086	21.4208	25.1556	27.7598	2.2674	3.4935	6772.3613	17.1619	22.9913	27.1168
COCOCO2J=COCJOCO2H	20.1015	0.7650	14651.0508	10.1103	18.0132	22.2299	22.4755	0.7627	15254.8496	11.8625	20.0677	24.4347
COCOCO2J=CJOCOCO2H	18.0202	0.5850	14125.2383	7.4396	14.9531	18.9127	24.0405	0.6161	14537.4766	13.2384	20.9810	25.0659
COCO2JOC=COCO2HOCJ	14.4307	1.5350	17238.0000	6.6211	16.3596	21.7608	21.0033	1.2514	20389.7754	8.2595	19.3875	25.3852
CJOCOCO2H=CH2O+CH2OCH2O2H	38.0622	-1.2300	23374.7598	6.8930	17.8030	22.8318	30.7007	-0.2601	17216.5020	11.7567	20.2400	24.3916
COCO2HOCJ=CH2O+CH3OCHO+OH	24.6393	0.7320	18614.0000	10.4545	20.3288	25.5197	34.2012	-0.6409	18602.6992	11.4957	20.4126	24.6490
COCO2JOCO2H=COCO2HOC*O+OH	18.3673	1.0850	18604.0000	6.3863	16.5003	21.9333	32.7244	-0.3535	16208.3086	14.2149	22.1262	25.9593
CO2JOCOCO2H=CO2HOCOC*O+OH	27.0654	-0.0360	18379.5391	8.3438	17.5678	22.1673	30.0394	-0.4292	17225.0898	10.0364	18.4069	22.4435
COCO2HOCO2J=COC*OOCO2H+OH	23.9966	0.8060	17141.0000	11.7542	20.9386	25.8101	21.8366	1.3158	22008.4258	7.8634	19.8505	26.3001
COCJOCO2H=CH3+HO2CH2OCHO	27.2527	0.4300	17979.4004	11.8298	21.1754	25.9973	29.6668	0.4464	20015.1328	12.2972	22.6786	28.0241
COCJOCO2H=CH3OCHO+CH2O+OH	28.5632	0.3700	18486.1016	12.2575	21.8165	26.7242	33.6798	-0.5732	17907.7285	12.0944	20.7086	24.8170
COCJOCO2H=C3H6O3_13+OH	31.7304	-0.4490	18700.0000	10.1196	19.2186	23.6124	33.0529	-1.1749	15600.4238	10.0504	17.0865	20.1974
