Validation results on test dataset:
R2 of lnk within 500-2000K is 0.9479
Average RMSE of lnk within 500-2000K is 2.7139
Average NRMSE of lnk within 500-2000K is 15.00%

	R2 score	RMSE	MPE	NRMSE
lnA:	0.7899	6.1980	346.87%	27.92%
n:	0.6694	0.9259	56.80%	63.58%
E:	0.9547	4266.9589	68.62%	22.46%
lnk(500K):	0.9584	3.5086	54.51%	22.45%
lnk(1000K):	0.9060	2.3712	26.68%	12.21%
lnk(2000K):	0.5213	2.5776	9.08%	10.46%

Details:
Temp.:	2000	1666	1428	1250	1111	1000	909	833	769	714	666	625	588	555	526	500
RMSE:	2.5776	2.4709	2.4004	2.3621	2.3532	2.3712	2.4136	2.4779	2.5615	2.6621	2.7773	2.9050	3.0435	3.1911	3.3465	3.5086
NRMSE:	10.46%	10.51%	10.71%	11.07%	11.60%	12.21%	12.89%	13.73%	14.53%	15.44%	16.47%	17.63%	18.84%	20.11%	21.28%	22.45%
	Truth						Prediction
Rxn.	lnA	n	E	lnk(500K)	lnk(1000K)	lnk(2000K)	lnA	n	E	lnk(500K)	lnk(1000K)	lnk(2000K)
NC5H12=NC3H7+C2H5	67.4657	-2.8700	95800.6016	-46.7876	-0.5682	21.5468	60.9426	-2.6441	94412.6641	-50.5099	-4.8323	17.0901
NC5H12=PC4H9+CH3	62.8375	-2.6400	97629.5000	-51.8272	-4.5280	18.2066	60.4983	-2.7675	91960.1953	-49.2527	-4.8948	16.3250
NC5H12+O2=C5H11-1+HO2	31.3687	0.0000	52799.9961	-21.7713	4.7987	18.0837	24.7171	0.8968	45114.4570	-15.1142	8.2099	20.1828
NC5H12+O=C5H11-1+OH	32.3584	0.0000	7850.0000	24.4579	28.4081	30.3833	22.9893	0.9239	5571.7812	23.1230	26.5672	28.6095
NC5H12+H=C5H11-1+H2	12.7628	2.6900	6450.0000	22.9886	28.0989	31.5864	22.0060	0.9166	12037.2520	15.5878	22.2805	25.9445
NC5H12+OH=C5H11-1+H2O	17.1231	1.8130	868.4004	27.5162	29.2099	30.6851	24.5227	0.6931	2629.4438	26.1836	27.9872	29.1292
NC5H12+HO2=C5H11-1+H2O2	3.0350	3.5900	15600.0000	9.6449	19.9836	26.3971	7.3269	2.6141	14400.6172	9.0794	18.1381	23.5734
NC5H12+CH3=C5H11-1+CH4	-0.1009	3.6500	7154.0000	15.3823	21.5123	25.8423	16.9238	1.3857	10542.1768	14.9254	21.1909	24.8039
NC5H12+CH3O=C5H11-1+CH3OH	26.4270	0.0000	7000.0000	19.3820	22.9045	24.6658	22.0678	0.6352	5486.0879	20.4940	23.6951	25.5157
NC5H12+O2=C5H11-2+HO2	30.9632	0.0000	50160.0000	-19.5198	5.7217	18.3425	25.7521	0.7705	42827.0352	-12.5621	9.5234	20.8332
