Validation results on test dataset:
R2 of lnk within 500-2000K is 0.7138
Average RMSE of lnk within 500-2000K is 3.9575
Average NRMSE of lnk within 500-2000K is 21.10%

	R2 score	RMSE	MPE	NRMSE
lnA:	0.6381	9.6537	67.67%	40.02%
n:	0.6325	1.2016	317.62%	71.97%
E:	0.6909	4811.6313	57.20%	30.35%
lnk(500K):	0.6271	5.4081	34.33%	36.38%
lnk(1000K):	0.5686	3.4445	12.97%	15.74%
lnk(2000K):	0.4789	2.7283	7.96%	10.28%

Details:
Temp.:	2000	1666	1428	1250	1111	1000	909	833	769	714	666	625	588	555	526	500
RMSE:	2.7283	2.8371	2.9684	3.1158	3.2754	3.4445	3.6213	3.8043	3.9927	4.1855	4.3821	4.5821	4.7850	4.9905	5.1982	5.4081
NRMSE:	10.28%	11.09%	12.05%	13.15%	14.37%	15.74%	17.24%	18.91%	20.75%	22.72%	24.67%	26.67%	28.83%	31.15%	33.66%	36.38%
	Truth						Prediction
Rxn.	lnA	n	E	lnk(500K)	lnk(1000K)	lnk(2000K)	lnA	n	E	lnk(500K)	lnk(1000K)	lnk(2000K)
PODE2+H=PODE2A+H2	13.9810	2.5200	6070.7500	23.5320	28.3337	31.6078	0.8191	3.8440	11044.9199	13.5921	21.8146	27.2581
PODE2+H=PODE2B+H2	19.5456	1.8200	6210.4902	24.6057	28.9925	31.8166	2.8010	3.5459	10878.1387	13.8894	21.8213	27.0162
PODE2+CH3O=PODE2A+CH3OH	1.2060	3.6200	1386.2300	22.3077	25.5145	28.3724	3.9685	3.4774	10283.5088	15.2294	22.8146	27.8124
PODE2+CH3O=PODE2B+CH3OH	6.8287	2.8800	1553.5400	23.1632	25.9413	28.3284	5.5760	3.2326	8297.7305	17.3140	23.7303	28.0587
PODE2+CH3=PODE2A+CH4	-5.2785	4.5200	6596.5596	16.1725	22.6250	27.4178	3.8666	3.4784	8040.5879	17.3911	23.8484	28.2825
PODE2+CH3=PODE2B+CH4	1.3813	3.8100	5620.4600	19.4023	24.8715	28.9266	5.1265	3.2281	7143.2070	17.9988	23.8310	27.8658
PODE2+HO2=PODE2A+H2O2	-6.9559	4.7800	10420.6494	12.2622	20.8193	26.7545	3.3883	3.6596	12382.4746	13.6691	22.4368	28.0890
PODE2+HO2=PODE2B+H2O2	-2.1037	4.1800	7265.7695	16.5608	23.1144	27.8399	5.1708	3.3922	10577.2227	15.6064	23.2803	28.2929
PODE2+O2=PODE2A+HO2	4.8363	3.4900	40535.3711	-14.2711	8.5462	21.1643	16.2141	1.6086	30814.2695	-4.8018	11.8195	20.6877
PODE2+O2=PODE2B+HO2	11.0300	2.5000	37249.2500	-10.9225	9.5549	20.6600	13.0036	1.8376	29434.8516	-5.2006	10.8853	19.5652
PODE2A=CH3OCH2OCH2+CH2O	31.9391	0.0100	25549.7090	6.2871	19.1511	25.5866	28.3833	0.6739	21037.3496	11.3985	22.4520	28.2123
PODE2B=CH3OCHO+CH3OCH2	28.0628	0.2700	14316.4395	15.3321	22.7236	26.5129	26.5137	0.8371	15819.6758	15.7941	24.3351	28.8957
PODE2B=COCOC*O+CH3	22.4602	1.0600	14579.3496	14.3745	22.4458	26.8489	26.5455	0.9272	14615.3789	17.5985	25.5959	29.9160
PODE2AO2=PODE2_OOH1_3	20.5794	0.7400	15391.9707	9.6871	17.9456	22.3313	15.5071	0.8743	11878.8906	8.9854	15.5691	19.1640
PODE2AO2=PODE2_OOH1_5	15.7685	1.0200	11759.0801	10.2726	16.8971	20.5628	15.2347	1.0329	11245.8311	10.3358	16.7109	20.2564
PODE2BO2=PODE2_OOH3_1	30.0820	-0.4400	17112.8105	10.1246	18.4311	22.4319	13.4228	1.6291	10785.2266	12.6921	19.2486	23.0915
PODE2BO2=PODE2_OOH3_5	19.1908	0.9900	18451.2402	6.7732	16.7444	22.0732	13.6137	1.3727	12101.9199	9.9646	17.0060	21.0024
PODE2BO2=PODE2_OOH3_7	22.2251	0.2800	16587.0000	7.2714	15.8124	20.1799	13.3165	1.3440	12229.7520	9.3607	16.4466	20.4554
PODE2_OOH1_5=CO2HOCOC*O+CH3	34.1248	-0.1700	17566.9199	15.3883	24.1104	28.4126	31.9180	0.1310	16224.1992	16.4035	24.6587	28.8316
PODE2_OOH1_5=CH3OCHO+CH2OCH2O2H	33.8963	0.3000	13121.4102	22.5548	29.3657	32.8751	26.5561	0.8533	14585.0332	17.1800	25.1109	29.3721
PODE2_OOH1_5=C4H8O4_15+OH	31.2971	-0.2000	20411.0898	9.5117	19.6443	24.6413	30.4783	0.1994	15405.3770	16.2132	24.1037	28.1181
PODE2_OOH1_3=CH3OCH2+HO2CH2OCHO	41.9653	-0.5300	13408.2207	25.1770	31.5569	34.5632	32.2182	0.1365	17140.0156	15.8162	24.5360	28.9432
PODE2_OOH1_3=COCOC*O+CH2O2H	32.6680	0.1900	15344.1699	18.4058	26.2590	30.2514	26.0800	0.9167	14599.6523	17.0831	25.0654	29.3742
PODE2_OOH1_3=C4H8O4_13+OH	55.1600	-2.5800	21391.0098	17.5976	26.5736	30.1675	31.1862	0.1244	15361.8047	16.4986	24.3152	28.2666
PODE2_OOH3_1=COCOC*O+CH2O+OH	23.3765	1.2400	21319.3105	9.6260	21.2138	27.4375	30.2324	0.4019	16472.3926	16.1518	24.7197	29.1429
PODE2_OOH3_1=C4H8O4_13+OH	31.2971	-0.2000	20411.0898	9.5117	19.6443	24.6413	34.2030	-0.1913	17262.7598	15.6401	24.1945	28.4054
PODE2_OOH3_5=COCO2HOC*O+CH3	24.7486	0.6300	16443.5898	12.1144	20.8258	25.3998	27.9846	0.7020	15833.8535	16.4113	24.8658	29.3364
PODE2_OOH3_5=CH3OCHO+CH3OCHO+OH	40.5126	-0.8000	15272.4688	20.1701	27.3010	30.5892	29.5236	0.4622	15142.2441	17.1564	25.0967	29.2270
PODE2_OOH3_5=C4H8O4_35+OH	44.3424	-1.7900	13957.9297	19.1705	24.9537	27.2249	30.4722	0.2565	17062.6426	14.8940	23.6580	28.1290
PODE2_OOH3_7=CH2O+COCO2HOCJ	42.8551	-1.8300	24976.0996	6.3454	17.6454	22.6612	30.9975	0.2721	15231.1934	17.3594	25.2127	29.2336
PODE2_OOH3_7=C4H8O4_15+OH	48.1097	-2.3700	21247.6094	11.9966	21.0461	24.7494	30.8675	0.1789	16894.1855	14.9765	23.6020	27.9768
