Evaluation results:
+-----+----------+----------+----------+----------+
|     |    R2    |   RMSE   |    MPE   |   NRMSE  |
+-----+----------+----------+----------+----------+
| lnA |  0.8163  |  6.9484  |  88.08%  |  29.80%  |
| n   |  0.7943  |  0.8909  | 103.89%  |  51.78%  |
| Ea  |  0.9717  |  3517.0  | 112.20%  |  18.52%  |
| lnk |  0.9066  |  2.9958  |  27.26%  |  14.02%  |
+-----+----------+----------+----------+----------+

Evaluation of lnk by temperature:
+-----+----------+----------+----------+----------+
| T/K |    R2    |   RMSE   |    MPE   |   NRMSE  |
+-----+----------+----------+----------+----------+
| 500 |  0.9464  |  4.1098  |  62.31%  |  24.63%  |
| 600 |  0.9354  |  3.6746  |  43.65%  |  21.28%  |
| 700 |  0.9220  |  3.3874  |  19.71%  |  18.83%  |
| 800 |  0.9063  |  3.1891  | 103.43%  |  17.09%  |
| 900 |  0.8882  |  3.0473  |  13.62%  |  15.72%  |
|1000 |  0.8677  |  2.9433  |  16.70%  |  14.71%  |
|1100 |  0.8449  |  2.8655  |  90.76%  |  13.89%  |
|1200 |  0.8201  |  2.8064  |  13.83%  |  13.11%  |
|1300 |  0.7936  |  2.7611  |  10.89%  |  12.50%  |
|1400 |  0.7657  |  2.7262  |  9.83%   |  12.02%  |
|1500 |  0.7368  |  2.6990  |  9.25%   |  11.64%  |
|1600 |  0.7075  |  2.6781  |  8.87%   |  11.32%  |
|1700 |  0.6783  |  2.6619  |  8.60%   |  11.07%  |
|1800 |  0.6495  |  2.6496  |  8.39%   |  10.85%  |
|1900 |  0.6217  |  2.6403  |  8.23%   |  10.67%  |
|2000 |  0.5951  |  2.6336  |  8.10%   |  10.52%  |
+-----+----------+----------+----------+----------+

Details of predictions:
# Reaction, true(lnA n Ea), pred(lnA n Ea), uncertainty factor of k by temperature(500, 600, ..., 2000)
CH3OCH2OCH2=CH3OCH2+CH2O                          	29.9728	0.2410	25616.0	32.7998	-0.6127	26285.8	23.40	24.43	25.72	27.14	28.64	30.18	31.75	33.34	34.93	36.53	38.13	39.73	41.32	42.91	44.50	46.08	
CH3OCH2OCH3+H=CH3OCHOCH3+H2                       	23.8052	1.1550	6548.8	16.4392	1.9227	6328.2	10.73	9.68	8.83	8.13	7.54	7.04	6.61	6.24	5.91	5.61	5.35	5.12	4.90	4.71	4.53	4.37	
COCJOCO2H=CH3+HO2CH2OCHO                          	27.2527	0.4300	17979.4	30.7863	-0.4391	18737.2	13.88	14.32	14.95	15.68	16.48	17.31	18.16	19.03	19.91	20.80	21.68	22.57	23.46	24.35	25.24	26.13	
CH3OCH3+O=CH3OCH2+OH                              	20.4684	1.3600	2250.0	13.9818	2.2729	3358.3	6.88	4.84	3.68	2.95	2.45	2.09	1.82	1.61	1.45	1.31	1.20	1.10	1.02	1.05	1.12	1.19	
CH3OCH2+O2=CH3OCH2O2                              	40.8359	-1.7300	2210.0	37.0691	-1.9536	2630.4	264.99	257.23	253.17	251.18	250.42	250.43	250.95	251.82	252.91	254.17	255.53	256.97	258.46	259.99	261.53	263.08	
CH2OCH2O2H+O2=O2CH2OCH2O2H                        	29.2141	-0.3200	428.0	34.6576	-1.6620	5422.5	2760.27	1525.36	1031.17	787.48	650.56	566.78	512.55	476.16	451.27	434.16	422.56	414.97	410.42	408.20	407.82	408.92	
O2CH2OCH2O2H=HO2CH2OCHO+OH                        	17.4688	0.9800	17467.0	28.5091	-0.2274	17462.5	34.51	27.67	22.96	19.53	16.94	14.91	13.29	11.96	10.86	9.93	9.13	8.45	7.85	7.33	6.86	6.45	
OME2+H=OME2B+H2                                   	19.5456	1.8200	6210.5	12.8713	2.4076	4628.2	4.18	4.89	5.40	5.76	6.00	6.16	6.27	6.32	6.35	6.35	6.33	6.30	6.26	6.22	6.16	6.11	
OME2+CH3=OME2A+CH4                                	-5.2785	4.5200	6596.6	6.1712	3.0276	3553.9	188.15	86.03	47.47	29.59	20.07	14.46	10.92	8.54	6.87	5.65	4.74	4.04	3.49	3.05	2.69	2.39	
OME2+CH3=OME2B+CH4                                	1.3813	3.8100	5620.5	6.9364	2.8460	2488.0	15.13	7.51	4.45	2.95	2.12	1.60	1.27	1.03	1.16	1.35	1.56	1.77	1.99	2.21	2.44	2.67	
OME2B=CH3OCHO+CH3OCH2                             	28.0628	0.2700	14316.4	24.5707	0.4869	16972.4	123.59	76.09	53.53	40.96	33.16	27.94	24.24	21.49	19.39	17.73	16.39	15.29	14.36	13.58	12.91	12.32	
OME2B=COCOC*O+CH3                                 	22.4602	1.0600	14579.3	25.6571	0.5363	17863.8	28.89	18.32	13.40	10.70	9.04	7.95	7.19	6.64	6.23	5.92	5.67	5.47	5.32	5.19	5.09	5.00	
OME2AO2=OME2_OOH1_3                               	20.5794	0.7400	15392.0	17.2688	0.7917	14852.2	11.54	12.52	13.25	13.81	14.26	14.61	14.90	15.15	15.35	15.52	15.67	15.79	15.90	15.99	16.08	16.15	
OME2BO2=OME2_OOH3_1                               	30.0820	-0.4400	17112.8	15.5787	0.9800	15763.1	75.21	72.81	68.76	64.22	59.70	55.44	51.50	47.92	44.68	41.74	39.09	36.69	34.52	32.54	30.74	29.10	
OME2_OOH1_5=CO2HOCOC*O+CH3                        	34.1248	-0.1700	17566.9	35.0874	-0.6595	16574.0	2.94	3.80	4.62	5.39	6.12	6.81	7.47	8.09	8.69	9.26	9.81	10.34	10.85	11.34	11.82	12.28	
C2H5OC2H5=CH3+C2H5OCH2                            	84.8818	-5.5420	102929.8	64.0008	-3.0309	92578.0	171.19	47.66	20.31	11.20	7.30	5.33	4.22	3.54	3.10	2.80	2.60	2.46	2.37	2.30	2.27	2.25	
C2H5OC2H5+OH=C2H5OCHCH3+H2O                       	23.1998	0.9800	568.0	15.8568	1.6379	341.4	20.62	19.00	17.64	16.49	15.50	14.65	13.90	13.24	12.66	12.13	11.65	11.22	10.83	10.47	10.14	9.83	
C4H9ObOO=C4H8ObOOHd                               	14.5763	1.4000	20164.2	15.4929	1.0183	17896.7	2.29	1.46	1.05	1.23	1.51	1.78	2.05	2.31	2.57	2.81	3.05	3.27	3.49	3.71	3.91	4.11	
C4H8OaOOHb=C4H8OcyOab+OH                          	25.1202	0.6000	10003.6	31.8155	-0.8669	17611.0	23789.58	8676.61	4372.26	2684.65	1875.04	1430.22	1161.39	987.32	868.71	784.76	723.64	678.21	643.96	617.93	598.10	583.04	
C4H8OaOOHc=C4H8OcyOac+OH                          	22.1020	0.7300	9377.6	27.1716	-0.2615	17231.0	8074.68	2591.34	1178.29	664.15	431.13	308.51	236.75	191.31	160.76	139.25	123.53	111.70	102.58	95.40	89.67	85.03	
C4H8OaOOHd=C4H8OcyOad+OH                          	19.6988	0.6800	12213.4	25.8608	-0.0772	16796.7	23.48	12.50	8.11	5.94	4.72	3.95	3.45	3.09	2.83	2.64	2.49	2.38	2.29	2.21	2.16	2.11	
C2H5OCH2OC2H5=C2H5+C2H5OCH2O                      	63.0285	-3.1600	86810.6	64.7246	-3.2340	89000.1	2.63	1.85	1.44	1.19	1.03	1.09	1.19	1.29	1.37	1.45	1.52	1.59	1.64	1.70	1.75	1.79	
C2H5OCH2OC2H5+H=C2H5OCH2OC2H4p+H2                 	11.8494	2.5400	8320.8	11.3468	2.4110	5648.4	4.00	2.49	1.77	1.37	1.12	1.05	1.20	1.35	1.48	1.61	1.73	1.85	1.96	2.06	2.16	2.25	
C2H5OCH2OC2H5+CH3=C2H5OCHOC2H5+CH4                	8.7323	2.3700	7916.2	10.2370	2.3368	6461.1	15.85	12.34	10.31	9.01	8.11	7.45	6.94	6.55	6.23	5.97	5.76	5.57	5.41	5.27	5.15	5.05	
C2H5OCH2OC2H5+C2H5=C2H5OCH2OC2H4s+C2H6            	12.3588	1.8400	9451.1	9.3960	2.2377	10671.1	5.58	4.23	3.44	2.92	2.56	2.29	2.09	1.92	1.79	1.68	1.59	1.51	1.44	1.38	1.33	1.28	
C3H8+H=IC3H7+H2                                   	13.7124	2.4370	4550.0	10.5189	2.3432	4510.6	41.95	42.96	43.79	44.50	45.12	45.67	46.16	46.61	47.02	47.40	47.75	48.08	48.39	48.68	48.96	49.22	
C3H8+CH3O=IC3H7+CH3OH                             	26.4270	0.0000	7000.0	23.4509	0.1414	5312.7	1.49	1.93	2.31	2.64	2.92	3.16	3.37	3.55	3.70	3.84	3.96	4.06	4.16	4.24	4.31	4.38	
C3H8+O2=IC3H7+HO2                                 	31.3124	0.0000	47700.0	29.3469	0.1635	50204.4	32.13	20.49	14.80	11.56	9.52	8.13	7.14	6.40	5.83	5.37	5.00	4.70	4.44	4.22	4.03	3.87	
